"Serial","Time of Reading - Local","Time of Reading - UTC","forwardActiveEnergy Type","forwardActiveEnergy Value"
7604524236,"2023/07/01 00:00","2023/06/30 22:00","TookReading",5306473
7604524236,"2023/07/01 00:30","2023/06/30 22:30","TookReading",5306481
7604524236,"2023/07/01 00:30","2023/06/30 22:30","TookReading",5306481
7604524236,"2023/07/01 01:00","2023/06/30 23:00","TookReading",5306488
7604524236,"2023/07/01 01:30","2023/06/30 23:30","TookReading",5306496
7604524236,"2023/07/01 02:00","2023/07/01 00:00","TookReading",5306503
7604524236,"2023/07/01 02:30","2023/07/01 00:30","TookReading",5306511
7604524236,"2023/07/01 03:00","2023/07/01 01:00","TookReading",5306518
7604524236,"2023/07/01 03:30","2023/07/01 01:30","TookReading",5306526
7604524236,"2023/07/01 04:00","2023/07/01 02:00","TookReading",5306534
7604524236,"2023/07/01 04:30","2023/07/01 02:30","TookReading",5306541
7604524236,"2023/07/01 05:00","2023/07/01 03:00","TookReading",5306549
7604524236,"2023/07/01 05:30","2023/07/01 03:30","TookReading",5306556
7604524236,"2023/07/01 06:00","2023/07/01 04:00","TookReading",5306564
7604524236,"2023/07/01 06:30","2023/07/01 04:30","TookReading",5306571
7604524236,"2023/07/01 07:00","2023/07/01 05:00","TookReading",5306579
7604524236,"2023/07/01 07:30","2023/07/01 05:30","TookReading",5306586
7604524236,"2023/07/01 08:00","2023/07/01 06:00","TookReading",5306594
7604524236,"2023/07/01 08:30","2023/07/01 06:30","TookReading",5306601
7604524236,"2023/07/01 09:00","2023/07/01 07:00","TookReading",5306608
7604524236,"2023/07/01 09:30","2023/07/01 07:30","TookReading",5306616
7604524236,"2023/07/01 10:00","2023/07/01 08:00","TookReading",5306623
7604524236,"2023/07/01 10:30","2023/07/01 08:30","TookReading",5306630
7604524236,"2023/07/01 11:00","2023/07/01 09:00","TookReading",5306638
7604524236,"2023/07/01 11:30","2023/07/01 09:30","TookReading",5306645
7604524236,"2023/07/01 12:00","2023/07/01 10:00","TookReading",5306653
7604524236,"2023/07/01 12:30","2023/07/01 10:30","TookReading",5306660
7604524236,"2023/07/01 13:00","2023/07/01 11:00","TookReading",5306667
7604524236,"2023/07/01 13:30","2023/07/01 11:30","TookReading",5306675
7604524236,"2023/07/01 14:00","2023/07/01 12:00","TookReading",5306682
7604524236,"2023/07/01 14:30","2023/07/01 12:30","TookReading",5306690
7604524236,"2023/07/01 15:00","2023/07/01 13:00","TookReading",5306697
7604524236,"2023/07/01 15:30","2023/07/01 13:30","TookReading",5306705
7604524236,"2023/07/01 16:00","2023/07/01 14:00","TookReading",5306712
7604524236,"2023/07/01 16:30","2023/07/01 14:30","TookReading",5306720
7604524236,"2023/07/01 17:00","2023/07/01 15:00","TookReading",5306727
7604524236,"2023/07/01 17:30","2023/07/01 15:30","TookReading",5306740
7604524236,"2023/07/01 18:00","2023/07/01 16:00","TookReading",5306755
7604524236,"2023/07/01 18:30","2023/07/01 16:30","TookReading",5306771
7604524236,"2023/07/01 19:00","2023/07/01 17:00","TookReading",5306785
7604524236,"2023/07/01 19:30","2023/07/01 17:30","TookReading",5306793
7604524236,"2023/07/01 20:00","2023/07/01 18:00","TookReading",5306793
7604524236,"2023/07/01 20:30","2023/07/01 18:30","TookReading",5306793
7604524236,"2023/07/01 21:00","2023/07/01 19:00","TookReading",5306793
